la_name,region_name,region_code,Row Labels,LA_susp_rate,Region_susp_rate,NonSEND_susp_rate,LA_oneplus_rate,REG_Total_susp_rate,NonSEND_oneplus_rate,LA_perm_excl_rate,REG_Overrepresentation,NonSEND_perm_excl_rate,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,Total_susp_rate,Overrepresentation,Regions,REG_SEND_pct_students,NonSEND_Headcount
Central Bedfordshire,East of England,E12000006,E06000056,0.24368276207155368,,0.047105276394547556,0.08969226920190143,,0.02072330365675771,0.004628471353515137,,0.0009053870529651426,2317,5677,37,1948,717,7994,47756,3821,73,1541,0.167,0.244,0.08,3.046,,,39762
Northumberland,North East,E12000001,E06000057,0.3185582075012177,,0.09493228718830611,0.08572820263029712,,0.030551375752364576,0.004018509498295178,,0.0015047291487532244,2260,5952,33,2616,704,8212,45428,6149,89,1841,0.181,0.319,0.135,2.353,,,37216
"Bournemouth, Christchurch and Poole",South West,E12000009,E06000058,0.31309973045822104,,0.06621497473587505,0.09336927223719677,,0.022301332108406062,0.007115902964959568,,0.0012172714745062013,2240,7035,66,2904,866,9275,52815,5787,119,1837,0.176,0.313,0.11,2.858,,,43540
Dorset,South West,E12000009,E06000059,0.22412868632707775,,0.05613999076307282,0.07935656836461126,,0.02594037050341253,0.0024664879356568366,,0.0008723764560989377,2304,7021,23,2090,740,9325,48299,4278,57,1751,0.193,0.224,0.089,2.53,,,38974
North Northamptonshire,East Midlands,E12000004,E06000061,0.301851196792831,,0.08996393850566228,0.0924419290178045,,0.03123220649950442,0.004952246197382384,,0.001202049811257091,2312,6169,42,2560,784,8481,55900,6826,99,2265,0.152,0.302,0.122,2.472,,,47419
West Northamptonshire,East Midlands,E12000004,E06000062,0.2618599584034862,,0.06224920618304895,0.086461325146083,,0.02452981611361178,0.002773100921065663,,0.0008723263198297219,2320,7777,28,2644,873,10097,67415,6212,78,2279,0.15,0.262,0.092,2.842,,,57318
Bolton,North West,E12000002,E08000001,0.31386520266324025,,0.08465288960458042,0.08865786707160378,,0.031490427625693325,0.0075925709613362926,,0.0009840758633029164,2286,6275,65,2687,759,8561,53273,6472,109,2167,0.161,0.314,0.121,2.584,,,44712
Bury,North West,E12000002,E08000002,0.23302752293577983,,0.07305087545424513,0.07910295616717634,,0.03159068384539147,0.002854230377166157,,0.0004955401387512388,1393,3512,14,1143,388,4905,29121,2912,26,1153,0.168,0.233,0.1,2.33,,,24216
Manchester,North West,E12000002,E08000003,0.26780863684239703,,0.08233753040874703,0.09041521148622429,,0.03348303793407651,0.0029380786074616107,,0.0006549576282513968,4942,13097,53,4831,1631,18039,92853,10991,102,4136,0.194,0.268,0.118,2.262,,,74814
Oldham,North West,E12000002,E08000004,0.1473046638400969,,0.05075751545543793,0.057419745608721984,,0.023402053649605986,0.0016959418534221683,,0.0007429223380827297,2422,5833,14,1216,474,8255,45944,3129,42,1356,0.18,0.147,0.068,2.163,,,37689
Rochdale,North West,E12000002,E08000005,0.2768875192604006,,0.09175455417066156,0.09614791987673343,,0.037551933525087886,0.005546995377503852,,0.0015020773410035155,1732,4758,36,1797,624,6490,37780,4668,83,1799,0.172,0.277,0.124,2.241,,,31290
Salford,North West,E12000002,E08000006,0.25015157026797624,,0.08469628106027934,0.08900206135564448,,0.03297614703247852,0.0043652237177155325,,0.0010284311448760907,1904,6343,36,2063,734,8247,38390,4616,67,1728,0.215,0.25,0.12,2.08,,,30143
Stockport,North West,E12000002,E08000007,0.23731303418803418,,0.06409935120986829,0.08386752136752136,,0.02442012641661794,0.005208333333333333,,0.0010302675911229918,2074,5414,39,1777,628,7488,43401,4079,76,1505,0.173,0.237,0.094,2.525,,,35913
Tameside,North West,E12000002,E08000008,0.29243623570800353,,0.11012050553541687,0.09484022280856054,,0.03922144933215767,0.0030782761653474055,,0.0014042650468632637,1667,5155,21,1995,647,6822,37443,5367,64,1848,0.182,0.292,0.143,2.04,,,30621
Trafford,North West,E12000002,E08000009,0.10900473933649289,,0.02701392442565111,0.05274422871120624,,0.015028683778178783,0.003516281914080416,,0.000754127501413989,2025,4516,23,713,345,6541,43670,1716,51,903,0.15,0.109,0.039,2.774,,,37129
Wigan,North West,E12000002,E08000010,0.19962314342717802,,0.05169537205780436,0.07614719574373753,,0.022895864883595574,0.004544446907559299,,0.0008983803485715752,1958,7064,41,1801,687,9022,47981,3815,76,1579,0.188,0.2,0.08,2.511,,,38959
Knowsley,North West,E12000002,E08000011,0.14038503136491456,,0.043327969485666605,0.06575816569327277,,0.023600929733595566,0.0036772658446895955,,0.0009535729185291137,1263,3360,17,649,304,4623,21402,1376,33,700,0.216,0.14,0.064,2.184,,,16779
Liverpool,North West,E12000002,E08000012,0.23185829860259868,,0.0915301222711747,0.0766119146849718,,0.034651749913370625,0.00502574160333415,,0.00118805999702985,3706,12610,82,3783,1250,16316,76919,9330,154,3350,0.212,0.232,0.121,1.912,,,60603
St. Helens,North West,E12000002,E08000013,0.2568151908253431,,0.06832326560497895,0.08817446888512878,,0.02878455061321618,0.0026320736980635457,,0.0006864360241625481,1089,4230,14,1366,469,5319,27171,2859,29,1098,0.196,0.257,0.105,2.441,,,21852
Sefton,North West,E12000002,E08000014,0.11196277032575964,,0.035054290294286666,0.05570763755817137,,0.021080966639445906,0.0021899808376676703,,0.0005746604966276502,1724,5582,16,818,407,7306,40369,1977,35,1104,0.181,0.112,0.049,2.286,,,33063
Wirral,North West,E12000002,E08000015,0.18777756323614597,,0.04655291448860834,0.07887623093261248,,0.023670973468783905,0.0029928557636609383,,0.0007150606568695138,2462,7896,31,1945,817,10358,50914,3833,60,1777,0.203,0.188,0.075,2.494,,,40556
Barnsley,Yorkshire and The Humber,E12000003,E08000016,0.4505950234403173,,0.163231573621184,0.1144969347277317,,0.038859841457244054,0.009556437071763433,,0.0013493000505987519,1483,4063,53,2499,635,5546,35191,7338,93,1787,0.158,0.451,0.209,2.161,,,29645
Doncaster,Yorkshire and The Humber,E12000003,E08000017,0.5120834393284152,,0.18927122987733572,0.11638259984736708,,0.0459057998059267,0.0043245993385906895,,0.0011942972307232964,1550,6312,34,4026,915,7862,48053,11633,82,2760,0.164,0.512,0.242,2.115,,,40191
Rotherham,Yorkshire and The Humber,E12000003,E08000018,0.2855885588558856,,0.07661514511286556,0.08800880088008801,,0.027271210941843656,0.0039603960396039604,,0.0007227843878572223,2056,7034,36,2596,800,9090,45062,5352,62,1781,0.202,0.286,0.119,2.405,,,35972
Sheffield,Yorkshire and The Humber,E12000003,E08000019,0.3639436260442574,,0.09065127114352274,0.1081563675785983,,0.03433606806441811,0.004336458134047574,,0.0009549854581759777,3341,12340,68,5707,1696,15681,84792,11972,134,4069,0.185,0.364,0.141,2.578,,,69111
Newcastle upon Tyne,North East,E12000001,E08000021,0.2808988764044944,,0.14287354342460248,0.09482049876678542,,0.04638080477584525,0.0028775006851192108,,0.0011480397221743871,1919,5379,21,2050,692,7298,42140,7028,61,2308,0.173,0.281,0.167,1.684,,,34842
North Tyneside,North East,E12000001,E08000022,0.1978746793697325,,0.07480756585309248,0.07860021986075486,,0.027617684601400225,0.00659582264565775,,0.0019726917572428734,1648,3810,36,1080,429,5458,31311,3014,87,1143,0.174,0.198,0.096,2.056,,,25853
