LA_REG_Overrepresentation,LA_REG_SEND_pct_students,LA_REG_SEND_susp_rate,LA_REG_Total_susp_rate,Overrepresentation,REG_Overrepresentation,REG_SEND_pct_students,REG_SEND_susp_rate,REG_Total_susp_rate,Regions,Row Labels,SEND one_plus_susp,SEND perm_excl,SEND suspensions,SEND_pct_students,SEND_susp_rate,Sum of SEN_EHC,Sum of SEN_Support,Total Headcount,Total One Plus Suspensions,Total Permanent Exclusion,Total Suspension,Total_SEND Headcount,Total_susp_rate,la_name,region_code,region_name
,,,,3.046,,,,,,E06000056,717,37,1948,0.167,0.244,2317,5677,47756,1541,73,3821,7994,0.08,Central Bedfordshire,E12000006,East of England
,,,,2.353,,,,,,E06000057,704,33,2616,0.181,0.319,2260,5952,45428,1841,89,6149,8212,0.135,Northumberland,E12000001,North East
,,,,2.858,,,,,,E06000058,866,66,2904,0.176,0.313,2240,7035,52815,1837,119,5787,9275,0.11,"Bournemouth, Christchurch and Poole",E12000009,South West
,,,,2.53,,,,,,E06000059,740,23,2090,0.193,0.224,2304,7021,48299,1751,57,4278,9325,0.089,Dorset,E12000009,South West
,,,,2.472,,,,,,E06000061,784,42,2560,0.152,0.302,2312,6169,55900,2265,99,6826,8481,0.122,North Northamptonshire,E12000004,East Midlands
,,,,2.842,,,,,,E06000062,873,28,2644,0.15,0.262,2320,7777,67415,2279,78,6212,10097,0.092,West Northamptonshire,E12000004,East Midlands
,,,,2.584,,,,,,E08000001,759,65,2687,0.161,0.314,2286,6275,53273,2167,109,6472,8561,0.121,Bolton,E12000002,North West
,,,,2.33,,,,,,E08000002,388,14,1143,0.168,0.233,1393,3512,29121,1153,26,2912,4905,0.1,Bury,E12000002,North West
,,,,2.262,,,,,,E08000003,1631,53,4831,0.194,0.268,4942,13097,92853,4136,102,10991,18039,0.118,Manchester,E12000002,North West
,,,,2.163,,,,,,E08000004,474,14,1216,0.18,0.147,2422,5833,45944,1356,42,3129,8255,0.068,Oldham,E12000002,North West
,,,,2.241,,,,,,E08000005,624,36,1797,0.172,0.277,1732,4758,37780,1799,83,4668,6490,0.124,Rochdale,E12000002,North West
,,,,2.08,,,,,,E08000006,734,36,2063,0.215,0.25,1904,6343,38390,1728,67,4616,8247,0.12,Salford,E12000002,North West
,,,,2.525,,,,,,E08000007,628,39,1777,0.173,0.237,2074,5414,43401,1505,76,4079,7488,0.094,Stockport,E12000002,North West
,,,,2.04,,,,,,E08000008,647,21,1995,0.182,0.292,1667,5155,37443,1848,64,5367,6822,0.143,Tameside,E12000002,North West
,,,,2.774,,,,,,E08000009,345,23,713,0.15,0.109,2025,4516,43670,903,51,1716,6541,0.039,Trafford,E12000002,North West
,,,,2.511,,,,,,E08000010,687,41,1801,0.188,0.2,1958,7064,47981,1579,76,3815,9022,0.08,Wigan,E12000002,North West
,,,,2.184,,,,,,E08000011,304,17,649,0.216,0.14,1263,3360,21402,700,33,1376,4623,0.064,Knowsley,E12000002,North West
,,,,1.912,,,,,,E08000012,1250,82,3783,0.212,0.232,3706,12610,76919,3350,154,9330,16316,0.121,Liverpool,E12000002,North West
,,,,2.441,,,,,,E08000013,469,14,1366,0.196,0.257,1089,4230,27171,1098,29,2859,5319,0.105,St. Helens,E12000002,North West
,,,,2.286,,,,,,E08000014,407,16,818,0.181,0.112,1724,5582,40369,1104,35,1977,7306,0.049,Sefton,E12000002,North West
