time_period,geographic_level,region_code,region_name,new_la_code,la_name,characteristic_group,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN,new_la_code.1,num_schools,headcount,TTperm_excl.1,TTperm_excl_rate.1,TTsuspension.1,TTsusp_rate.1,TTone_plus_susp.1,TTone_plus_susp_rate.1
202223,Local authority,E12000002,North West,E08000005,Rochdale,SEN provision,47,0.150207734,2871,9.175455417,1175,3.755193353,,,31290,E08000005,86,37780,83,0.21969,4668,12.35574,1799,4.76178
202223,Local authority,E12000002,North West,E08000008,Tameside,SEN provision,2,0.119976005,509,30.53389322,181,10.85782843,1667,,,E08000008,97,37443,64,0.17093,5367,14.33379,1848,4.9355
202223,Local authority,E12000002,North West,E08000008,Tameside,SEN provision,19,0.3685742,1486,28.82638215,466,9.039767216,,5155,,E08000008,97,37443,64,0.17093,5367,14.33379,1848,4.9355
202223,Local authority,E12000002,North West,E08000008,Tameside,SEN provision,43,0.140426505,3372,11.01205055,1201,3.922144933,,,30621,E08000008,97,37443,64,0.17093,5367,14.33379,1848,4.9355
202223,Local authority,E12000002,North West,E06000049,Cheshire East,SEN provision,1,0.038895371,427,16.60832361,196,7.623492804,2571,,,E06000049,154,57034,51,0.08942,3744,6.56451,1538,2.69664
202223,Local authority,E12000002,North West,E06000049,Cheshire East,SEN provision,21,0.391352963,1059,19.73537085,370,6.895266493,,5366,,E06000049,154,57034,51,0.08942,3744,6.56451,1538,2.69664
202223,Local authority,E12000002,North West,E06000049,Cheshire East,SEN provision,29,0.059066745,2258,4.599059006,972,1.979754364,,,49097,E06000049,154,57034,51,0.08942,3744,6.56451,1538,2.69664
202223,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,SEN provision,3,0.127064803,304,12.87590004,136,5.760271072,2361,,,E06000050,160,51847,52,0.1003,3886,7.49513,1499,2.8912
202223,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,SEN provision,18,0.041488994,2253,5.193039069,900,2.074449695,,,43385,E06000050,160,51847,52,0.1003,3886,7.49513,1499,2.8912
202223,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,SEN provision,31,0.508113424,1329,21.78331421,463,7.588919849,,6101,,E06000050,160,51847,52,0.1003,3886,7.49513,1499,2.8912
202223,Local authority,E12000002,North West,E08000002,Bury,SEN provision,3,0.215362527,337,24.19239052,109,7.824838478,1393,,,E08000002,81,29121,26,0.08928,2912,9.99966,1153,3.95934
202223,Local authority,E12000002,North West,E08000002,Bury,SEN provision,11,0.313211845,806,22.9498861,279,7.944191344,,3512,,E08000002,81,29121,26,0.08928,2912,9.99966,1153,3.95934
202223,Local authority,E12000002,North West,E08000002,Bury,SEN provision,12,0.049554014,1769,7.305087545,765,3.159068385,,,24216,E08000002,81,29121,26,0.08928,2912,9.99966,1153,3.95934
202223,Local authority,E12000002,North West,E08000003,Manchester,SEN provision,8,0.161877782,1059,21.42857143,397,8.033184945,4942,,,E08000003,182,92853,102,0.10985,10991,11.83699,4136,4.45435
202223,Local authority,E12000002,North West,E08000003,Manchester,SEN provision,45,0.343590135,3772,28.80048866,1234,9.422005039,,13097,,E08000003,182,92853,102,0.10985,10991,11.83699,4136,4.45435
202223,Local authority,E12000002,North West,E08000003,Manchester,SEN provision,49,0.065495763,6160,8.233753041,2505,3.348303793,,,74814,E08000003,182,92853,102,0.10985,10991,11.83699,4136,4.45435
202223,Local authority,E12000002,North West,E08000004,Oldham,SEN provision,1,0.041288192,304,12.55161024,152,6.27580512,2422,,,E08000004,106,45944,42,0.09142,3129,6.81046,1356,2.95142
202223,Local authority,E12000002,North West,E08000004,Oldham,SEN provision,13,0.222869878,912,15.63517915,322,5.520315447,,5833,,E08000004,106,45944,42,0.09142,3129,6.81046,1356,2.95142
202223,Local authority,E12000002,North West,E08000004,Oldham,SEN provision,28,0.074292234,1913,5.075751546,882,2.340205365,,,37689,E08000004,106,45944,42,0.09142,3129,6.81046,1356,2.95142
202223,Local authority,E12000002,North West,E08000007,Stockport,SEN provision,4,0.192864031,436,21.02217936,169,8.148505304,2074,,,E08000007,108,43401,76,0.17511,4079,9.3984,1505,3.46766
202223,Local authority,E12000002,North West,E08000007,Stockport,SEN provision,35,0.646472109,1341,24.7691171,459,8.478019948,,5414,,E08000007,108,43401,76,0.17511,4079,9.3984,1505,3.46766
