time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,ass_nodecision,ass_nodecision_ehc,ass_none,ass_none_ehc,ass_none_ehc_pc,ass_refused,ass_refused_ehc,ass_refused_ehc_pc,assessment_mediation,assessment_tribunal,assessment_w,assessments,direct_pay_education,direct_pay_health,direct_pay_integrated,direct_pay_socialcare,discontinued_abroad,discontinued_age,discontinued_deceased,discontinued_employment,discontinued_unknown,discontinued_engage,discontinued_he,discontinued_lea,discontinued_lea_ehc,discontinued_lea_noncomp,discontinued_left,discontinued_left_ehc,discontinued_met,discontinued_met_ehc,discontinued_met_noncomp,discontinued_other,discontinued_other_ehc,discontinued_other_noncomp,discontinued_total,inc_exc_20week_ehc,inc_exc_20week_rate,inc_exc_26week,inreq_ehc,inreq_ehc_a,inreq_ehc_w,inreq_ehc_y,inreq_rya_ehc,mainstream_to_home,mainstream_to_home_ehc,mainstream_to_special,mainstream_to_special_ehc,new_all_ehc,new_all_ehc_ass_none_ehc_sum,new_all_ehc_pc,no_exc_20week_ehc,no_exc_20week_rate,no_exc_26week,org_arrangements,other_mediation,other_tribunal,total_tribunal,personal_budgets,request_mediation,request_tribunal,special_to_home,special_to_home_ehc,special_to_mainstream,special_to_mainstream_ehc,statements_no_ehc,statements_to_ehc,tot_inc_exc,tot_inc_exc_ehc,tot_no_exc,tot_no_exc_ehc,total_mediation,total_tribunal_followed_mediation,total_tribunal_pc
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,z,,z,3,0.5882,z,18,2.1583,4,4,0,510,0,0,0,44,2,4,0,5,0,5,3,z,44,14,z,z,z,4,92,z,0,0,173,223,46.1698,z,834,129,142,545,0,z,z,z,z,507,510,99.41,173,49.5702,z,31,15,19,35,75,62,12,z,z,z,z,z,z,z,483,z,349,81,,z
2023,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,371,Doncaster,z,,z,25,5.1867,z,248,35.2774,6,2,0,482,4,0,0,0,2,5,2,33,0,155,10,z,17,24,z,z,z,0,3,z,0,0,251,192,42.8571,z,703,44,0,411,0,z,z,z,z,457,482,94.81,184,43.3962,z,0,1,15,20,4,31,3,z,z,z,z,z,z,z,448,z,424,38,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,z,,z,18,4.5685,z,143,23.366,0,2,0,394,10,1,2,188,2,1,0,7,0,75,9,z,46,109,z,z,z,0,1,z,0,0,250,134,44.5183,z,612,61,0,408,1,z,z,z,z,376,394,95.43,131,46.9534,z,4,8,6,14,201,100,6,z,z,z,z,z,z,z,301,z,279,108,,z
2023,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000031,336,Wolverhampton,z,,z,15,3.4014,z,79,13.9085,0,2,0,441,7,2,3,30,2,3,3,25,0,191,12,z,43,33,z,z,z,4,3,z,2,0,321,315,74.1176,z,568,22,2,465,0,z,z,z,z,426,441,96.6,291,75.7812,z,2,3,5,8,51,4,1,z,z,z,z,z,z,z,425,z,384,7,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000025,316,Newham,z,,z,2,0.4831,z,139,18.3862,1,1,0,414,8,0,0,50,0,20,1,5,0,124,11,z,17,4,z,z,z,0,22,z,0,0,204,322,79.5062,z,756,74,4,539,0,z,z,z,z,412,414,99.52,320,79.602,z,0,0,0,16,8,31,15,z,z,z,z,z,z,z,405,z,402,32,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000008,889,Blackburn with Darwen,z,,z,0,0,z,39,12.6214,6,2,22,250,0,0,0,52,3,0,2,6,0,22,1,z,25,14,z,z,z,0,30,z,1,0,104,202,91.4027,z,309,11,1,258,0,z,z,z,z,228,228,100,202,91.4027,z,0,0,0,3,52,11,1,z,z,z,z,z,z,z,221,z,221,17,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000003,302,Barnet,z,,z,6,0.9217,z,221,22.4365,0,0,0,651,10,0,2,0,24,78,5,6,0,94,13,z,81,30,z,z,z,1,0,z,0,0,332,582,99.4872,z,985,65,3,696,0,z,z,z,z,645,651,99.08,451,100,z,19,0,0,61,19,0,61,z,z,z,z,z,z,z,585,z,451,0,,z
2023,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,381,Calderdale,z,,z,14,3.0043,z,69,13.0189,3,0,0,466,1,0,7,0,5,7,3,15,0,69,16,z,27,12,z,z,z,1,9,z,0,0,164,438,97.7679,z,530,7,0,454,0,z,z,z,z,452,466,97,438,97.7679,z,8,5,0,4,8,24,4,z,z,z,z,z,z,z,448,z,448,32,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E06000037,869,West Berkshire,z,,z,0,0,z,108,26.5356,2,2,0,294,39,0,2,60,1,0,0,24,0,47,10,z,10,22,z,z,z,0,0,z,0,0,114,182,62.9758,z,407,47,0,252,0,z,z,z,z,294,294,100,181,73.8776,z,0,0,16,24,101,8,6,z,z,z,z,z,z,z,289,z,245,10,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E06000045,852,Southampton,z,,z,0,0,z,74,12.1511,0,1,0,297,0,0,0,0,7,1,4,0,0,137,0,z,29,15,z,z,z,0,0,z,0,0,193,267,90.2027,z,609,146,93,296,0,z,z,z,z,297,297,100,267,100,z,0,0,1,46,0,0,44,z,z,z,z,z,z,z,296,z,267,0,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000002,301,Barking and Dagenham,z,,z,18,3.2727,z,75,14.0713,0,2,3,553,2,0,0,0,2,6,3,0,0,3,1,z,57,11,z,z,z,0,0,z,1,0,84,75,14.2315,z,533,76,0,382,1,z,z,z,z,532,550,96.73,75,14.4231,z,0,3,11,27,2,3,14,z,z,z,z,z,z,z,527,z,520,6,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,z,,z,30,5.5453,z,151,22.571,3,2,0,541,1,1,81,200,18,1,3,25,0,264,33,z,51,30,z,z,z,3,3,z,0,0,431,291,58.5513,z,669,31,0,487,0,z,z,z,z,511,541,94.45,262,62.381,z,44,3,0,5,283,35,3,z,z,z,z,z,z,z,497,z,420,41,,z
2023,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,382,Kirklees,z,,z,0,0,z,319,30.7618,1,1,12,606,2,0,0,0,2,18,7,21,0,133,12,z,35,23,z,z,z,3,34,z,0,0,288,77,13.0068,z,1037,91,20,607,0,z,z,z,z,594,594,100,77,13.0068,z,0,0,0,1,2,1,0,z,z,z,z,z,z,z,592,z,592,2,,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,z,,z,9,3.5156,z,164,38.1395,3,3,0,256,58,8,19,79,1,0,0,10,0,51,5,z,13,7,z,z,z,1,32,z,0,0,120,191,85.2679,z,430,13,0,253,0,z,z,z,z,247,256,96.48,173,86.9347,z,0,0,0,61,164,68,58,z,z,z,z,z,z,z,224,z,199,71,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E10000011,845,East Sussex,z,,z,62,9.4656,z,456,41.0441,21,32,0,655,4,0,36,88,3,3,4,5,0,376,3,z,48,29,z,z,z,2,2,z,0,0,475,436,87.3747,z,1111,61,1,593,0,z,z,z,z,593,655,90.53,436,87.5502,z,114,18,39,167,199,96,96,z,z,z,z,z,z,z,499,z,498,135,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E06000044,851,Portsmouth,z,,z,19,9.0047,z,97,18.3019,0,2,0,211,45,0,1,34,5,7,1,2,0,49,0,z,31,9,z,z,z,7,2,z,0,0,113,3,1.5625,z,530,112,3,318,0,z,z,z,z,192,211,91,3,1.5625,z,116,1,3,14,186,7,9,z,z,z,z,z,z,z,192,z,192,8,,z
2023,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,855,Leicestershire,z,,z,113,14.9077,z,250,17.7054,20,24,6,764,47,0,0,0,1,33,5,37,0,320,32,z,102,65,z,z,z,6,51,z,0,0,652,32,5.959,z,1412,181,3,978,0,z,z,z,z,645,758,85.09,32,5.959,z,2,13,31,87,49,54,32,z,z,z,z,z,z,z,537,z,537,87,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,z,,z,3,0.9146,z,0,0,2,0,0,328,0,1,2,123,4,1,4,0,0,1,1,z,11,12,z,z,z,0,53,z,0,0,87,35,10.8025,z,551,122,14,415,0,z,z,z,z,325,328,99.09,35,10.8025,z,124,2,4,7,124,32,3,z,z,z,z,z,z,z,324,z,324,36,,z
2023,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,333,Sandwell,z,,z,2,0.4049,z,58,7.754,0,0,8,502,0,0,0,0,4,2,3,2,0,22,4,z,66,23,z,z,z,1,2,z,0,0,129,156,32.1649,z,748,110,20,560,0,z,z,z,z,492,494,99.6,132,35.2,z,0,0,0,0,0,0,0,z,z,z,z,z,z,z,485,z,375,0,,z
