new_la_code,la_name,region_code,region_name,headcount,TTperm_excl,TTperm_excl_rate,TTsuspension,TTsusp_rate,TTone_plus_susp,TTone_plus_susp_rate,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E06000025,South Gloucestershire,E12000009,South West,41019.0,32.0,0.07801,4779.0,11.6507,1567.0,3.82018,13,0.252280225,1989,38.59887444,545,10.57636328,,5153.0,
E06000025,South Gloucestershire,E12000009,South West,41019.0,32.0,0.07801,4779.0,11.6507,1567.0,3.82018,15,0.043896872,2280,6.672324486,851,2.49041585,,,34171.0
E06000026,Plymouth,E12000009,South West,39014.0,52.0,0.13329,5163.0,13.23371,1692.0,4.3369,1,0.062189055,494,30.72139303,170,10.5721393,1608.0,,
E06000026,Plymouth,E12000009,South West,39014.0,52.0,0.13329,5163.0,13.23371,1692.0,4.3369,22,0.402046784,1783,32.58406433,539,9.850146199,,5472.0,
E06000026,Plymouth,E12000009,South West,39014.0,52.0,0.13329,5163.0,13.23371,1692.0,4.3369,29,0.0908123,2886,9.037389616,983,3.078223837,,,31934.0
E06000027,Torbay,E12000009,South West,20271.0,50.0,0.24666,3051.0,15.05106,932.0,4.5977,5,0.409836066,508,41.63934426,165,13.52459016,1220.0,,
E06000027,Torbay,E12000009,South West,20271.0,50.0,0.24666,3051.0,15.05106,932.0,4.5977,21,0.838993208,1090,43.54774271,306,12.2253296,,2503.0,
E06000027,Torbay,E12000009,South West,20271.0,50.0,0.24666,3051.0,15.05106,932.0,4.5977,24,0.145032632,1453,8.780517283,461,2.785835146,,,16548.0
E06000030,Swindon,E12000009,South West,37001.0,52.0,0.14054,3636.0,9.82676,1372.0,3.70801,2,0.110011001,253,13.91639164,102,5.610561056,1818.0,,
E06000030,Swindon,E12000009,South West,37001.0,52.0,0.14054,3636.0,9.82676,1372.0,3.70801,24,0.078994141,2026,6.668422092,815,2.682509381,,,30382.0
E06000030,Swindon,E12000009,South West,37001.0,52.0,0.14054,3636.0,9.82676,1372.0,3.70801,26,0.541553843,1357,28.2649448,455,9.477192252,,4801.0,
E06000052,Cornwall,E12000009,South West,74305.0,163.0,0.21937,7539.0,10.14602,2943.0,3.9607,9,0.390455531,604,26.20390456,238,10.32537961,2305.0,,
E06000052,Cornwall,E12000009,South West,74305.0,163.0,0.21937,7539.0,10.14602,2943.0,3.9607,75,0.121723606,4090,6.637993995,1704,2.765560334,,,61615.0
E06000052,Cornwall,E12000009,South West,74305.0,163.0,0.21937,7539.0,10.14602,2943.0,3.9607,79,0.760712566,2845,27.39528166,1001,9.638902263,,10385.0,
E06000053,Isles of Scilly,E12000009,South West,263.0,0.0,0.0,1.0,0.38023,1.0,0.38023,0,0.0,0,0.0,0,0.0,,14.0,240.0
E06000053,Isles of Scilly,E12000009,South West,263.0,0.0,0.0,1.0,0.38023,1.0,0.38023,0,0.0,1,11.11111111,1,11.11111111,9.0,,
E06000054,Wiltshire,E12000009,South West,70702.0,4.0,0.00566,6773.0,9.57964,2505.0,3.54304,1,0.001743527,3265,5.692616162,1342,2.339813443,,,57355.0
E06000054,Wiltshire,E12000009,South West,70702.0,4.0,0.00566,6773.0,9.57964,2505.0,3.54304,1,0.031289111,1034,32.35294118,315,9.856070088,3196.0,,
E06000054,Wiltshire,E12000009,South West,70702.0,4.0,0.00566,6773.0,9.57964,2505.0,3.54304,2,0.019702492,2474,24.37198306,848,8.353856763,,10151.0,
E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,52815.0,119.0,0.22531,5787.0,10.95711,1837.0,3.47818,6,0.267857143,594,26.51785714,217,9.6875,2240.0,,
E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,52815.0,119.0,0.22531,5787.0,10.95711,1837.0,3.47818,53,0.121727147,2883,6.621497474,971,2.230133211,,,43540.0
E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,52815.0,119.0,0.22531,5787.0,10.95711,1837.0,3.47818,60,0.852878465,2310,32.8358209,649,9.225302061,,7035.0,
E06000059,Dorset,E12000009,South West,48299.0,57.0,0.11801,4278.0,8.85733,1751.0,3.62533,6,0.260416667,493,21.39756944,197,8.550347222,2304.0,,
E06000059,Dorset,E12000009,South West,48299.0,57.0,0.11801,4278.0,8.85733,1751.0,3.62533,17,0.242130751,1597,22.74604757,543,7.733941034,,7021.0,
E06000059,Dorset,E12000009,South West,48299.0,57.0,0.11801,4278.0,8.85733,1751.0,3.62533,34,0.087237646,2188,5.613999076,1011,2.59403705,,,38974.0
E10000008,Devon,E12000009,South West,101017.0,170.0,0.16829,16147.0,15.98444,4464.0,4.41906,22,0.432985633,1893,37.25644558,549,10.80495965,5081.0,,
E10000008,Devon,E12000009,South West,101017.0,170.0,0.16829,16147.0,15.98444,4464.0,4.41906,52,0.063926828,7232,8.890746592,2265,2.78450512,,,81343.0
E10000008,Devon,E12000009,South West,101017.0,170.0,0.16829,16147.0,15.98444,4464.0,4.41906,96,0.657849654,7022,48.11896115,1650,11.30679093,,14593.0,
E10000013,Gloucestershire,E12000009,South West,91992.0,98.0,0.10653,7875.0,8.56053,3161.0,3.43617,20,0.518806744,1080,28.0155642,404,10.47989624,3855.0,,
E10000013,Gloucestershire,E12000009,South West,91992.0,98.0,0.10653,7875.0,8.56053,3161.0,3.43617,35,0.046250413,3973,5.25008259,1751,2.313842088,,,75675.0
E10000013,Gloucestershire,E12000009,South West,91992.0,98.0,0.10653,7875.0,8.56053,3161.0,3.43617,43,0.345048949,2822,22.64484031,1006,8.072540523,,12462.0,
E10000027,Somerset,E12000009,South West,72471.0,95.0,0.13109,10955.0,15.11639,3544.0,4.89023,19,0.642978003,1372,46.42978003,455,15.39763113,2955.0,,
E10000027,Somerset,E12000009,South West,72471.0,95.0,0.13109,10955.0,15.11639,3544.0,4.89023,29,0.047899049,5658,9.345269556,1956,3.230708245,,,60544.0
E10000027,Somerset,E12000009,South West,72471.0,95.0,0.13109,10955.0,15.11639,3544.0,4.89023,47,0.523851984,3925,43.74721355,1133,12.62817655,,8972.0,
E09000001,City of London,E13000001,Inner London,271.0,0.0,0.0,1.0,0.369,1.0,0.369,0,0.0,0,0.0,0,0.0,8.0,59.0,
E09000001,City of London,E13000001,Inner London,271.0,0.0,0.0,1.0,0.369,1.0,0.369,0,0.0,1,0.490196078,1,0.490196078,,,204.0
E09000007,Camden,E13000001,Inner London,21565.0,17.0,0.07883,971.0,4.50267,584.0,2.70809,2,0.199203187,178,17.72908367,72,7.171314741,1004.0,,
E09000007,Camden,E13000001,Inner London,21565.0,17.0,0.07883,971.0,4.50267,584.0,2.70809,7,0.230414747,278,9.150757077,155,5.102040816,,3038.0,
E09000007,Camden,E13000001,Inner London,21565.0,17.0,0.07883,971.0,4.50267,584.0,2.70809,8,0.045654283,515,2.938994464,357,2.037322376,,,17523.0
E09000012,Hackney,E13000001,Inner London,33615.0,33.0,0.09817,2755.0,8.19575,1508.0,4.48609,5,0.262191924,361,18.93025695,155,8.127949659,1907.0,,
E09000012,Hackney,E13000001,Inner London,33615.0,33.0,0.09817,2755.0,8.19575,1508.0,4.48609,8,0.163398693,815,16.64624183,388,7.924836601,,4896.0,
E09000012,Hackney,E13000001,Inner London,33615.0,33.0,0.09817,2755.0,8.19575,1508.0,4.48609,20,0.074593466,1579,5.88915411,965,3.599134716,,,26812.0
E09000013,Hammersmith and Fulham,E13000001,Inner London,19980.0,12.0,0.06006,1137.0,5.69069,766.0,3.83383,0,0.0,108,8.470588235,66,5.176470588,1275.0,,
E09000013,Hammersmith and Fulham,E13000001,Inner London,19980.0,12.0,0.06006,1137.0,5.69069,766.0,3.83383,3,0.139794967,265,12.34855545,149,6.943150047,,2146.0,
E09000013,Hammersmith and Fulham,E13000001,Inner London,19980.0,12.0,0.06006,1137.0,5.69069,766.0,3.83383,9,0.054351108,764,4.613805181,551,3.327495622,,,16559.0
