la_name,region_name,region_code,Row Labels,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,LA_susp_rate,REG_susp_rate,SEND one_plus_susp rate,LA_one_plus_rate,REG_one_plus_rate,SEND exclusion rate,LA_excl_rate,REG_excl_rate,LA_Overrepresentation,REG_Overrepresentation,
North Northamptonshire,East Midlands,E12000004,E06000061,2312,6169,42,2560,784,8481,55900,6826,99,2265,0.152,0.302,0.122,0.279,0.092,0.041,0.089262461,0.005,0.002,0.003770809,2.472,2.624,
West Northamptonshire,East Midlands,E12000004,E06000062,2320,7777,28,2644,873,10097,67415,6212,78,2279,0.15,0.262,0.092,0.279,0.086,0.034,0.089262461,0.003,0.001,0.003770809,2.842,2.624,
Bolton,North West,E12000002,E08000001,2286,6275,65,2687,759,8561,53273,6472,109,2167,0.161,0.314,0.121,0.216,0.089,0.041,0.077780924,0.008,0.002,0.004331668,2.584,2.384,
Bury,North West,E12000002,E08000002,1393,3512,14,1143,388,4905,29121,2912,26,1153,0.168,0.233,0.1,0.216,0.079,0.04,0.077780924,0.003,0.001,0.004331668,2.33,2.384,
Manchester,North West,E12000002,E08000003,4942,13097,53,4831,1631,18039,92853,10991,102,4136,0.194,0.268,0.118,0.216,0.09,0.045,0.077780924,0.003,0.001,0.004331668,2.262,2.384,
Oldham,North West,E12000002,E08000004,2422,5833,14,1216,474,8255,45944,3129,42,1356,0.18,0.147,0.068,0.216,0.057,0.03,0.077780924,0.002,0.001,0.004331668,2.163,2.384,
Rochdale,North West,E12000002,E08000005,1732,4758,36,1797,624,6490,37780,4668,83,1799,0.172,0.277,0.124,0.216,0.096,0.048,0.077780924,0.006,0.002,0.004331668,2.241,2.384,
Salford,North West,E12000002,E08000006,1904,6343,36,2063,734,8247,38390,4616,67,1728,0.215,0.25,0.12,0.216,0.089,0.045,0.077780924,0.004,0.002,0.004331668,2.08,2.384,
Stockport,North West,E12000002,E08000007,2074,5414,39,1777,628,7488,43401,4079,76,1505,0.173,0.237,0.094,0.216,0.084,0.035,0.077780924,0.005,0.002,0.004331668,2.525,2.384,
Tameside,North West,E12000002,E08000008,1667,5155,21,1995,647,6822,37443,5367,64,1848,0.182,0.292,0.143,0.216,0.095,0.049,0.077780924,0.003,0.002,0.004331668,2.04,2.384,
Trafford,North West,E12000002,E08000009,2025,4516,23,713,345,6541,43670,1716,51,903,0.15,0.109,0.039,0.216,0.053,0.021,0.077780924,0.004,0.001,0.004331668,2.774,2.384,
Wigan,North West,E12000002,E08000010,1958,7064,41,1801,687,9022,47981,3815,76,1579,0.188,0.2,0.08,0.216,0.076,0.033,0.077780924,0.005,0.002,0.004331668,2.511,2.384,
Knowsley,North West,E12000002,E08000011,1263,3360,17,649,304,4623,21402,1376,33,700,0.216,0.14,0.064,0.216,0.066,0.033,0.077780924,0.004,0.002,0.004331668,2.184,2.384,
Liverpool,North West,E12000002,E08000012,3706,12610,82,3783,1250,16316,76919,9330,154,3350,0.212,0.232,0.121,0.216,0.077,0.044,0.077780924,0.005,0.002,0.004331668,1.912,2.384,
St. Helens,North West,E12000002,E08000013,1089,4230,14,1366,469,5319,27171,2859,29,1098,0.196,0.257,0.105,0.216,0.088,0.04,0.077780924,0.003,0.001,0.004331668,2.441,2.384,
Sefton,North West,E12000002,E08000014,1724,5582,16,818,407,7306,40369,1977,35,1104,0.181,0.112,0.049,0.216,0.056,0.027,0.077780924,0.002,0.001,0.004331668,2.286,2.384,
Wirral,North West,E12000002,E08000015,2462,7896,31,1945,817,10358,50914,3833,60,1777,0.203,0.188,0.075,0.216,0.079,0.035,0.077780924,0.003,0.001,0.004331668,2.494,2.384,
Barnsley,Yorkshire and The Humber,E12000003,E08000016,1483,4063,53,2499,635,5546,35191,7338,93,1787,0.158,0.451,0.209,0.31,0.114,0.051,0.09166672,0.01,0.003,0.003528862,2.161,2.327,
Doncaster,Yorkshire and The Humber,E12000003,E08000017,1550,6312,34,4026,915,7862,48053,11633,82,2760,0.164,0.512,0.242,0.31,0.116,0.057,0.09166672,0.004,0.002,0.003528862,2.115,2.327,
Rotherham,Yorkshire and The Humber,E12000003,E08000018,2056,7034,36,2596,800,9090,45062,5352,62,1781,0.202,0.286,0.119,0.31,0.088,0.04,0.09166672,0.004,0.001,0.003528862,2.405,2.327,
Sheffield,Yorkshire and The Humber,E12000003,E08000019,3341,12340,68,5707,1696,15681,84792,11972,134,4069,0.185,0.364,0.141,0.31,0.108,0.048,0.09166672,0.004,0.002,0.003528862,2.578,2.327,
Newcastle upon Tyne,North East,E12000001,E08000021,1919,5379,21,2050,692,7298,42140,7028,61,2308,0.173,0.281,0.167,0.314,0.095,0.055,0.085951252,0.003,0.001,0.004858915,1.684,2.131,
North Tyneside,North East,E12000001,E08000022,1648,3810,36,1080,429,5458,31311,3014,87,1143,0.174,0.198,0.096,0.314,0.079,0.037,0.085951252,0.007,0.003,0.004858915,2.056,2.131,
South Tyneside,North East,E12000001,E08000023,1094,3876,21,572,252,4970,22654,1214,35,595,0.219,0.115,0.054,0.314,0.051,0.026,0.085951252,0.004,0.002,0.004858915,2.148,2.131,
Sunderland,North East,E12000001,E08000024,1682,6025,56,2433,739,7707,40869,5890,90,1854,0.189,0.316,0.144,0.314,0.096,0.045,0.085951252,0.007,0.002,0.004858915,2.19,2.131,
Birmingham,West Midlands,E12000005,E08000025,7535,28793,156,6140,2716,36328,203796,15142,281,8001,0.178,0.169,0.074,0.209,0.075,0.039,0.07995205,0.004,0.001,0.001298713,2.275,2.446,
Coventry,West Midlands,E12000005,E08000026,2095,9331,38,2631,1067,11426,59900,5519,79,2497,0.191,0.23,0.092,0.209,0.093,0.042,0.07995205,0.003,0.001,0.001298713,2.499,2.446,
Dudley,West Midlands,E12000005,E08000027,2193,6511,43,1626,674,8704,47893,4052,84,1838,0.182,0.187,0.085,0.209,0.077,0.038,0.07995205,0.005,0.002,0.001298713,2.208,2.446,
Sandwell,West Midlands,E12000005,E08000028,2314,7954,23,1538,742,10268,62475,3839,49,2069,0.164,0.15,0.061,0.209,0.072,0.033,0.07995205,0.002,0.001,0.001298713,2.438,2.446,
Solihull,West Midlands,E12000005,E08000029,1555,5540,30,1566,592,7095,40395,3511,65,1512,0.176,0.221,0.087,0.209,0.083,0.037,0.07995205,0.004,0.002,0.001298713,2.539,2.446,
