new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,,,2363
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,135,,
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,,116,
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,,,60
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,245,,
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,,762,
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,,,2303
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,2,,
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,382,,
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,,878,
E06000011,East Riding of Yorkshire,Total,144,45612,60,0.13154,3623,7.94309,1433,3.14172,,,2363
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,135,,
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,,116,
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,,,60
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,245,,
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,,762,
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,,,2303
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,2,,
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,382,,
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,,878,
E06000011,East Riding of Yorkshire,state-funded primary,123,25179,6,0.02383,311,1.23516,154,0.61162,,,2363
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,135,,
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,,116,
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,,,60
